cluster_id,proc_id,job_id,gpu_name,gpu_capability,gpu_memory_mb,server,exit_code,time_execute_s,cuda_available,host_from_out,wall_clock_s,dG_kcal_mol,host_from_err,failure_reason,mean_s_per_iter,n_iter_timed,max_iteration_err,max_iteration,status,projected_total_s,projected_total_h,cuda_worked
7957251,0,7957251.0,NVIDIA GeForce RTX 2080 Ti,7.5,11004,vetsigian0001.chtc.wisc.edu,0,10615,,vetsigian0001,10614,133.65087625312765,vetsigian0001,,4.210779166666667,2400.0,2000.0,2000.0,SUCCESS,10614.0,2.9483333333333333,True
7957251,1,7957251.1,NVIDIA GeForce RTX 2080 Ti,7.5,11004,vetsigian0001.chtc.wisc.edu,0,11492,,vetsigian0001,11490,135.55327086024596,vetsigian0001,,4.308472083333333,2400.0,2000.0,2000.0,SUCCESS,11490.0,3.191666666666667,True
7957251,2,7957251.2,NVIDIA L40S,8.9,45468,jcaicedogpu0003.chtc.wisc.edu,0,44,,ahlquist0000,10736,130.67424527823445,ahlquist0000,,4.1813674999999995,2400.0,2000.0,2000.0,SUCCESS,10736.0,2.982222222222222,True
7957251,3,7957251.3,NVIDIA GeForce RTX 2080 Ti,7.5,10823,dmorgan2000.chtc.wisc.edu,0,11975,,dmorgan2000,11974,130.47829906997723,dmorgan2000,,4.80629125,2400.0,2000.0,2000.0,SUCCESS,11974.0,3.326111111111111,True
7957251,4,7957251.4,NVIDIA GeForce RTX 2080 Ti,7.5,10823,dmorgan2000.chtc.wisc.edu,0,10944,,dmorgan2000,10943,135.9477030519974,dmorgan2000,,4.324305,2400.0,2000.0,2000.0,SUCCESS,10943.0,3.039722222222222,True
7957251,5,7957251.5,NVIDIA GeForce RTX 2080 Ti,7.5,10823,gpulab2001.chtc.wisc.edu,0,12822,,gpulab2001,12820,132.57245534543532,gpulab2001,,5.101121666666666,2400.0,2000.0,2000.0,SUCCESS,12820.0,3.561111111111111,True
7957251,6,7957251.6,NVIDIA H200,9.0,143158,dbrundage,1,476,,dbrundage,476,,,NaN error (ran on CPU without CUDA),,,,,FAILED,,,False
7957251,7,7957251.7,NVIDIA GeForce RTX 2080 Ti,7.5,10823,gpulab2001.chtc.wisc.edu,0,10818,,gpulab2001,10818,135.23358410221795,gpulab2001,,4.139619166666666,2400.0,2000.0,2000.0,SUCCESS,10818.0,3.005,True
7957251,8,7957251.8,NVIDIA GeForce RTX 2080 Ti,7.5,10823,gpulab2001.chtc.wisc.edu,1,755,,gpulab2001,755,,gpulab2001,NaN error (ran on CPU without CUDA),,,,,FAILED,,,False
7957251,9,7957251.9,NVIDIA GeForce RTX 2080 Ti,7.5,10823,gpulab2001.chtc.wisc.edu,0,10900,,gpulab2001,10899,135.3600782531218,gpulab2001,,4.230492916666667,2400.0,2000.0,2000.0,SUCCESS,10899.0,3.0275,True
7966096,0,7966096.0,NVIDIA L40S,8.9,45460,zliu,0,8705,True,zliu,8705,136.59601918749652,,,3.418485,2400.0,2000.0,2000.0,SUCCESS,8705.0,2.4180555555555556,True
7966096,1,7966096.1,NVIDIA GeForce GTX 1080 Ti,6.1,11165,gitter0000.chtc.wisc.edu,0,17429,True,gitter0000,17427,131.8740847894673,gitter0000,,7.032643333333334,2400.0,2000.0,2000.0,SUCCESS,17427.0,4.840833333333333,True
7966096,2,7966096.2,NVIDIA GeForce RTX 2080 Ti,7.5,10823,gpulab2001.chtc.wisc.edu,0,10560,True,gpulab2001,10559,132.8069804300104,gpulab2001,,4.1723920833333334,2400.0,2000.0,2000.0,SUCCESS,10559.0,2.9330555555555557,True
7966096,3,7966096.3,NVIDIA GeForce GTX 1080 Ti,6.1,11165,gitter0000.chtc.wisc.edu,0,17739,True,gitter0000,17738,134.41879930044738,gitter0000,,6.601886666666667,2400.0,2000.0,2000.0,SUCCESS,17738.0,4.927222222222222,True
7966096,4,7966096.4,NVIDIA GeForce RTX 2080 Ti,7.5,10823,gpulab2001.chtc.wisc.edu,0,11223,True,gpulab2001,11222,132.2109714817731,gpulab2001,,4.161793333333334,2400.0,2000.0,2000.0,SUCCESS,11222.0,3.1172222222222223,True
7966096,5,7966096.5,NVIDIA GeForce GTX 1080 Ti,6.1,11165,gitter0000.chtc.wisc.edu,0,16359,True,gitter0000,16358,135.33911702168726,gitter0000,,6.566871666666667,2400.0,2000.0,2000.0,SUCCESS,16358.0,4.543888888888889,True
7966096,6,7966096.6,NVIDIA GeForce GTX 1080 Ti,6.1,11165,gitter0000.chtc.wisc.edu,0,16259,True,gitter0000,16257,132.7997984687684,gitter0000,,6.504286666666667,2400.0,2000.0,2000.0,SUCCESS,16257.0,4.515833333333333,True
7966096,7,7966096.7,NVIDIA GeForce RTX 2080 Ti,7.5,11004,vetsigian0001.chtc.wisc.edu,0,10652,True,vetsigian0001,10652,136.5953540393768,vetsigian0001,,4.251555,2400.0,2000.0,2000.0,SUCCESS,10652.0,2.9588888888888887,True
7966096,8,7966096.8,NVIDIA GeForce RTX 2080 Ti,7.5,11004,vetsigian0001.chtc.wisc.edu,0,10719,True,vetsigian0001,10718,133.82656975928327,vetsigian0001,,4.310365833333334,2400.0,2000.0,2000.0,SUCCESS,10718.0,2.977222222222222,True
7966096,9,7966096.9,NVIDIA A100-SXM4-80GB MIG 3g.40gb,8.0,40100,gpu2011.chtc.wisc.edu,0,19673,True,gpu2011,19672,137.324703173494,gpu2011,,8.033535416666666,2400.0,2000.0,2000.0,SUCCESS,19672.0,5.464444444444444,True
